0 hermite_formula_-0.010000_0.010000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-0.010000_0.010000,0.0000000214,-0.0000000550,0.0000000471,0.0000000550
11 hermite_formula_-0.010000_0.010000,0.0000000193,-0.0000000409,0.0000000429,0.0000000429
12 hermite_formula_-0.010000_0.010000,0.0000000186,-0.0000000369,0.0000000376,0.0000000376
13 hermite_formula_-0.010000_0.010000,0.0000000219,-0.0000000456,0.0000000501,0.0000000501
14 hermite_formula_-0.010000_0.010000,0.0000000134,-0.0000000284,0.0000000300,0.0000000300
15 hermite_formula_-0.010000_0.010000,0.0000000248,-0.0000000589,0.0000000539,0.0000000589
16 hermite_formula_-0.010000_0.010000,0.0000000275,-0.0000000440,0.0000000465,0.0000000465
17 hermite_formula_-0.010000_0.010000,0.0000000230,-0.0000000540,0.0000000463,0.0000000540
18 hermite_formula_-0.010000_0.010000,0.0000000174,-0.0000000319,0.0000000320,0.0000000320
1 hermite_formula_-0.010000_0.010000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-0.010000_0.010000,0.0000000178,-0.0000000339,0.0000000363,0.0000000363
2 hermite_formula_-0.010000_0.010000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-0.010000_0.010000,0.0000000214,-0.0000000576,0.0000000369,0.0000000576
4 hermite_formula_-0.010000_0.010000,0.0000000153,-0.0000000317,0.0000000281,0.0000000317
5 hermite_formula_-0.010000_0.010000,0.0000000210,-0.0000000484,0.0000000446,0.0000000484
6 hermite_formula_-0.010000_0.010000,0.0000000206,-0.0000000376,0.0000000393,0.0000000393
7 hermite_formula_-0.010000_0.010000,0.0000000205,-0.0000000516,0.0000000524,0.0000000524
8 hermite_formula_-0.010000_0.010000,0.0000000138,-0.0000000293,0.0000000287,0.0000000293
9 hermite_formula_-0.010000_0.010000,0.0000000207,-0.0000000551,0.0000000418,0.0000000551
,0.0000000253,-0.0000000519,0.0000000506,0.0000000519
