0 laguerre_formula_-1.1_-0.9,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-1.1_-0.9,0.0000000223,-0.0000000424,0.0000000456,0.0000000456
11 laguerre_formula_-1.1_-0.9,0.0000000246,-0.0000000553,0.0000000565,0.0000000565
12 laguerre_formula_-1.1_-0.9,0.0000000219,-0.0000000471,0.0000000506,0.0000000506
13 laguerre_formula_-1.1_-0.9,0.0000000219,-0.0000000549,0.0000000488,0.0000000549
14 laguerre_formula_-1.1_-0.9,0.0000000216,-0.0000000476,0.0000000496,0.0000000496
15 laguerre_formula_-1.1_-0.9,0.0000000230,-0.0000000552,0.0000000515,0.0000000552
16 laguerre_formula_-1.1_-0.9,0.0000000208,-0.0000000513,0.0000000467,0.0000000513
17 laguerre_formula_-1.1_-0.9,0.0000000252,-0.0000000495,0.0000000566,0.0000000566
18 laguerre_formula_-1.1_-0.9,0.0000000222,-0.0000000482,0.0000000581,0.0000000581
1 laguerre_formula_-1.1_-0.9,0.0000000221,-0.0000000596,0.0000000584,0.0000000596
19 laguerre_formula_-1.1_-0.9,0.0000000202,-0.0000000542,0.0000000534,0.0000000542
2 laguerre_formula_-1.1_-0.9,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-1.1_-0.9,0.0000000180,-0.0000000420,0.0000000391,0.0000000420
4 laguerre_formula_-1.1_-0.9,0.0000000244,-0.0000000468,0.0000000533,0.0000000533
5 laguerre_formula_-1.1_-0.9,0.0000000196,-0.0000000404,0.0000000435,0.0000000435
6 laguerre_formula_-1.1_-0.9,0.0000000223,-0.0000000546,0.0000000568,0.0000000568
7 laguerre_formula_-1.1_-0.9,0.0000000207,-0.0000000463,0.0000000436,0.0000000463
8 laguerre_formula_-1.1_-0.9,0.0000000153,-0.0000000337,0.0000000331,0.0000000337
9 laguerre_formula_-1.1_-0.9,0.0000000225,-0.0000000537,0.0000000487,0.0000000537
,0.0000000220,-0.0000000484,0.0000000491,0.0000000491
