0 legendre_formula_-1.000000_1.000000,"Average Error","Error LB","Error UB","Abs. Worst"
13 legendre_formula_-1.000000_1.000000,0.0000000197,-0.0000000465,0.0000000555,0.0000000555
14 legendre_formula_-1.000000_1.000000,156048313950960.2500000000,-5453083510.7960786819,5348525588195833.0000000000,5348525588195833.0000000000
15 legendre_formula_-1.000000_1.000000,4093499768864.3403320312,-603611031452.6520996094,41423225408159.0859375000,41423225408159.0859375000
1 legendre_formula_-1.000000_1.000000,0.0000000226,-0.0000000480,0.0000000549,0.0000000549
18 legendre_formula_-1.000000_1.000000,0.0000000224,-0.0000000549,0.0000000545,0.0000000549
19 legendre_formula_-1.000000_1.000000,19860761543.4643745422,-262173500653.1847534180,6784.2908238808,262173500653.1847534180
20 legendre_formula_-1.000000_1.000000,7436251979.4748229980,-126143143945.8771362305,156664032985.2879638672,156664032985.2879638672
21 legendre_formula_-1.000000_1.000000,1694925453.5592782497,-36442318475.0461959839,0.0020572808,36442318475.0461959839
23 legendre_formula_-1.000000_1.000000,123727101.9097609222,-2101364519.5732755661,2635582963.2729430199,2635582963.2729430199
26 legendre_formula_-1.000000_1.000000,1675447.3193620306,-18077475.3947026283,19941970.9699291363,19941970.9699291363
2 legendre_formula_-1.000000_1.000000,0.0000000177,-0.0000000482,0.0000000379,0.0000000482
28 legendre_formula_-1.000000_1.000000,0.0000000200,-0.0000000432,0.0000000461,0.0000000461
31 legendre_formula_-1.000000_1.000000,27430.1063205255,-846294.8771338966,12.1152938683,846294.8771338966
32 legendre_formula_-1.000000_1.000000,68.9384873945,-3157.0079658148,100.7839346442,3157.0079658148
33 legendre_formula_-1.000000_1.000000,3.6465321916,-54.2687057321,49.6996903107,54.2687057321
34 legendre_formula_-1.000000_1.000000,0.8933026409,-28.0725454326,2.2431024897,28.0725454326
35 legendre_formula_-1.000000_1.000000,0.5539045309,-0.6231129552,28.8179694634,28.8179694634
36 legendre_formula_-1.000000_1.000000,0.0461116379,-1.7340728057,0.2160826313,1.7340728057
3 legendre_formula_-1.000000_1.000000,0.0056824746,-0.0159568820,0.1046400364,0.1046400364
37 legendre_formula_-1.000000_1.000000,0.0000000212,-0.0000000516,0.0000000500,0.0000000516
38 legendre_formula_-1.000000_1.000000,0.0000000199,-0.0000000458,0.0000000436,0.0000000458
39 legendre_formula_-1.000000_1.000000,0.0010967964,-0.0164758275,0.0132817592,0.0164758275
40 legendre_formula_-1.000000_1.000000,0.0058399751,-0.0000115371,0.2826180970,0.2826180970
41 legendre_formula_-1.000000_1.000000,0.0000315552,-0.0002933725,0.0003872665,0.0003872665
42 legendre_formula_-1.000000_1.000000,0.0000056747,-0.0000090130,0.0000503895,0.0000503895
43 legendre_formula_-1.000000_1.000000,0.0000006894,-0.0000062411,0.0000070921,0.0000070921
44 legendre_formula_-1.000000_1.000000,0.0000005444,-0.0000001301,0.0000034123,0.0000034123
45 legendre_formula_-1.000000_1.000000,0.0000001730,-0.0000076415,0.0000002873,0.0000076415
4 legendre_formula_-1.000000_1.000000,0.0000000384,-0.0000001256,0.0000004514,0.0000004514
46 legendre_formula_-1.000000_1.000000,0.0000000249,-0.0000000489,0.0000000508,0.0000000508
47 legendre_formula_-1.000000_1.000000,0.0000000218,-0.0000000527,0.0000000492,0.0000000527
48 legendre_formula_-1.000000_1.000000,0.0000000192,-0.0000000403,0.0000000466,0.0000000466
49 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8 legendre_formula_-1.000000_1.000000,580371509175190400.0000000000,-1359912116636883456.0000000000,16369940378105264128.0000000000,16369940378105264128.0000000000
9 legendre_formula_-1.000000_1.000000,96755353027690480.0000000000,-889644233063551488.0000000000,825214018097983616.0000000000,889644233063551488.0000000000
,72852668161549584.0000000000,-3950778523696861184.0000000000,53557910793843928.0000000000,3950778523696861184.0000000000
