0 legendre_formula_0.9_1.1,"Average Error","Error LB","Error UB","Abs. Worst"
14 legendre_formula_0.9_1.1,0.0000135126,-0.0001905202,0.0001699147,0.0001905202
16 legendre_formula_0.9_1.1,0.0000883866,-0.0005851055,0.0015906712,0.0015906712
17 legendre_formula_0.9_1.1,0.0000003888,-0.0000012790,0.0000025870,0.0000025870
18 legendre_formula_0.9_1.1,0.0000109519,-0.0002641360,0.0000876822,0.0002641360
1 legendre_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_0.9_1.1,0.0000015075,-0.0000152660,0.0000065760,0.0000152660
2 legendre_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_0.9_1.1,0.0000010395,-0.0000084707,0.0000054527,0.0000084707
4 legendre_formula_0.9_1.1,0.0000011171,-0.0000015043,0.0000359495,0.0000359495
5 legendre_formula_0.9_1.1,0.0000000210,-0.0000000495,0.0000000575,0.0000000575
6 legendre_formula_0.9_1.1,0.0000000567,-0.0000002354,0.0000001616,0.0000002354
7 legendre_formula_0.9_1.1,0.0000000633,-0.0000001537,0.0000001551,0.0000001551
,0.0000000241,-0.0000000764,0.0000000644,0.0000000764
