0 laguerre_formula_-1.05_-0.95,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-1.05_-0.95,0.0000000178,-0.0000000335,0.0000000310,0.0000000335
11 laguerre_formula_-1.05_-0.95,0.0000000184,-0.0000000369,0.0000000373,0.0000000373
12 laguerre_formula_-1.05_-0.95,0.0000000240,-0.0000000477,0.0000000479,0.0000000479
13 laguerre_formula_-1.05_-0.95,0.0000000227,-0.0000000555,0.0000000506,0.0000000555
14 laguerre_formula_-1.05_-0.95,0.0000000155,-0.0000000342,0.0000000329,0.0000000342
15 laguerre_formula_-1.05_-0.95,0.0000000229,-0.0000000475,0.0000000465,0.0000000475
16 laguerre_formula_-1.05_-0.95,0.0000000245,-0.0000000522,0.0000000582,0.0000000582
17 laguerre_formula_-1.05_-0.95,0.0000000192,-0.0000000377,0.0000000392,0.0000000392
18 laguerre_formula_-1.05_-0.95,0.0000000229,-0.0000000497,0.0000000519,0.0000000519
1 laguerre_formula_-1.05_-0.95,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 laguerre_formula_-1.05_-0.95,0.0000000230,-0.0000000429,0.0000000476,0.0000000476
2 laguerre_formula_-1.05_-0.95,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-1.05_-0.95,0.0000000200,-0.0000000473,0.0000000570,0.0000000570
4 laguerre_formula_-1.05_-0.95,0.0000000194,-0.0000000389,0.0000000416,0.0000000416
5 laguerre_formula_-1.05_-0.95,0.0000000174,-0.0000000551,0.0000000547,0.0000000551
6 laguerre_formula_-1.05_-0.95,0.0000000245,-0.0000000474,0.0000000462,0.0000000474
7 laguerre_formula_-1.05_-0.95,0.0000000180,-0.0000000348,0.0000000357,0.0000000357
8 laguerre_formula_-1.05_-0.95,0.0000000281,-0.0000000596,0.0000000595,0.0000000596
9 laguerre_formula_-1.05_-0.95,0.0000000228,-0.0000000508,0.0000000504,0.0000000508
,0.0000000250,-0.0000000570,0.0000000532,0.0000000570
