0 hermite_formula_-100.000000_100.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-100.000000_100.000000,0.0000000259,-0.0000000443,0.0000004072,0.0000004072
11 hermite_formula_-100.000000_100.000000,0.0000001364,-0.0000001279,0.0000057051,0.0000057051
12 hermite_formula_-100.000000_100.000000,0.0000001785,-0.0000004959,0.0000008905,0.0000008905
13 hermite_formula_-100.000000_100.000000,0.0000001932,-0.0000002246,0.0000071473,0.0000071473
14 hermite_formula_-100.000000_100.000000,0.0000001894,-0.0000024104,0.0000003216,0.0000024104
15 hermite_formula_-100.000000_100.000000,0.0000006663,-0.0000002915,0.0000367875,0.0000367875
16 hermite_formula_-100.000000_100.000000,0.0000001121,-0.0000003258,0.0000002042,0.0000003258
17 hermite_formula_-100.000000_100.000000,0.0000000244,-0.0000000502,0.0000003458,0.0000003458
18 hermite_formula_-100.000000_100.000000,0.0000001129,-0.0000004070,0.0000002208,0.0000004070
1 hermite_formula_-100.000000_100.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-100.000000_100.000000,0.0000000524,-0.0000002618,0.0000001271,0.0000002618
2 hermite_formula_-100.000000_100.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-100.000000_100.000000,0.0000000734,-0.0000002282,0.0000001802,0.0000002282
4 hermite_formula_-100.000000_100.000000,0.0000000776,-0.0000001965,0.0000002054,0.0000002054
5 hermite_formula_-100.000000_100.000000,0.0000000007,-0.0000000407,0.0000000000,0.0000000407
6 hermite_formula_-100.000000_100.000000,0.0000000510,-0.0000001525,0.0000004257,0.0000004257
7 hermite_formula_-100.000000_100.000000,0.0000000468,-0.0000002267,0.0000001194,0.0000002267
8 hermite_formula_-100.000000_100.000000,0.0000000212,-0.0000000529,0.0000000446,0.0000000529
9 hermite_formula_-100.000000_100.000000,0.0000000559,-0.0000006660,0.0000001962,0.0000006660
,0.0000012163,-0.0000675096,0.0000004007,0.0000675096
