0 legendre_formula_-100000.0000000_1000000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 legendre_formula_-100000.0000000_1000000.000000,0.0000000023,-0.0000000265,0.0000000480,0.0000000480
11 legendre_formula_-100000.0000000_1000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12 legendre_formula_-100000.0000000_1000000.000000,0.0000000025,0.0000000000,0.0000001575,0.0000001575
13 legendre_formula_-100000.0000000_1000000.000000,0.0000000023,-0.0000001411,0.0000000000,0.0000001411
14 legendre_formula_-100000.0000000_1000000.000000,0.0000000032,0.0000000000,0.0000001977,0.0000001977
15 legendre_formula_-100000.0000000_1000000.000000,0.0000000005,-0.0000000297,0.0000000000,0.0000000297
16 legendre_formula_-100000.0000000_1000000.000000,0.0000000014,0.0000000000,0.0000000853,0.0000000853
17 legendre_formula_-100000.0000000_1000000.000000,0.0000000005,-0.0000000320,0.0000000000,0.0000000320
18 legendre_formula_-100000.0000000_1000000.000000,0.0000000018,0.0000000000,0.0000001087,0.0000001087
1 legendre_formula_-100000.0000000_1000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-100000.0000000_1000000.000000,0.0000000113,-0.0000001366,0.0000001329,0.0000001366
2 legendre_formula_-100000.0000000_1000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-100000.0000000_1000000.000000,0.0000000229,-0.0000001163,0.0000001346,0.0000001346
4 legendre_formula_-100000.0000000_1000000.000000,0.0000000508,-0.0000002050,0.0000001164,0.0000002050
5 legendre_formula_-100000.0000000_1000000.000000,0.0000000415,-0.0000001730,0.0000001358,0.0000001730
6 legendre_formula_-100000.0000000_1000000.000000,0.0000000309,-0.0000000703,0.0000000956,0.0000000956
7 legendre_formula_-100000.0000000_1000000.000000,0.0000000297,-0.0000000967,0.0000000803,0.0000000967
9 legendre_formula_-100000.0000000_1000000.000000,0.0000000329,-0.0000000561,0.0000000826,0.0000000826
,0.0000000000,0.0000000000,0.0000000000,0.0000000000
